GEOID,NAME,year,totpop,white_pct,asian_pct,afam_pct,inc150k_pct,pov_pct,unemp_pct,snap_pct,noveh_pct,state
13001950100,"Census Tract 9501, Appling County, Georgia",Y2016,3144,94.6,0.4,3.5,5.7,11.3,10.8,18.4,0.6,13
13001950200,"Census Tract 9502, Appling County, Georgia",Y2016,4622,46.6,1.6,40,2.1,23.9,8.2,32.6,7.3,13
13001950300,"Census Tract 9503, Appling County, Georgia",Y2016,4983,70.5,1.3,14.4,2,23.6,9.7,16.7,5.1,13
13001950400,"Census Tract 9504, Appling County, Georgia",Y2016,1617,68.2,0,28.1,1.8,16.8,8.7,13.8,3.3,13
13001950500,"Census Tract 9505, Appling County, Georgia",Y2016,4044,77.7,0,5.6,3.3,14.2,5.4,17.8,1.3,13
13003960100,"Census Tract 9601, Atkinson County, Georgia",Y2016,2176,47.9,0,20.4,0.6,21.4,4.6,34.5,10,13
13003960200,"Census Tract 9602, Atkinson County, Georgia",Y2016,4666,53.7,0,21.7,2.8,21.6,7.5,29.1,3.4,13
13003960300,"Census Tract 9603, Atkinson County, Georgia",Y2016,1426,78,0,2.2,4.5,24.4,2.2,19,0.8,13
13005970100,"Census Tract 9701, Bacon County, Georgia",Y2016,2891,82.7,0.2,4.9,5.2,19,2.4,12,0,13
13005970201,"Census Tract 9702.01, Bacon County, Georgia",Y2016,4227,67.2,0.2,23.3,1.6,15.1,4.4,19,0.4,13
13005970202,"Census Tract 9702.02, Bacon County, Georgia",Y2016,4133,75.1,0.7,14.7,1.6,17.1,9.1,25.5,2.5,13
13007960100,"Census Tract 9601, Baker County, Georgia",Y2016,2172,45.7,1.2,47.4,1.7,19.9,3,18.2,4.7,13
13007960200,"Census Tract 9602, Baker County, Georgia",Y2016,1078,59.3,0,28.8,10.6,4.9,3.6,7.8,0,13
13009970100,"Census Tract 9701, Baldwin County, Georgia",Y2016,5202,63.1,0.2,32.2,4.6,16.5,4.4,12.1,1.6,13
13009970200,"Census Tract 9702, Baldwin County, Georgia",Y2016,6277,58.2,1.4,37.3,3.1,29,5.5,14.9,0.9,13
13009970300,"Census Tract 9703, Baldwin County, Georgia",Y2016,6399,49.4,5.1,39.1,7.2,7.2,10,8.7,0.5,13
13009970400,"Census Tract 9704, Baldwin County, Georgia",Y2016,4929,51.7,2.6,41.9,1.8,38.4,12.7,11.4,0.5,13
13009970500,"Census Tract 9705, Baldwin County, Georgia",Y2016,6409,60.1,1.9,33.3,4.3,51.2,8.1,15.8,2.3,13
13009970600,"Census Tract 9706, Baldwin County, Georgia",Y2016,3589,33.1,0,62.7,1.3,29.2,6.5,18,6,13
13009970701,"Census Tract 9707.01, Baldwin County, Georgia",Y2016,2837,37.9,0.4,58.4,2.3,43.1,13.3,37.2,4.6,13
13009970702,"Census Tract 9707.02, Baldwin County, Georgia",Y2016,2398,40,0.8,57,5.2,17.9,10.2,22.6,2.3,13
13009970800,"Census Tract 9708, Baldwin County, Georgia",Y2016,7768,59.2,0,39.6,2.3,19.3,5.7,22.3,6.3,13
13011970100,"Census Tract 9701, Banks County, Georgia",Y2016,5271,88.3,0.5,0.5,2.9,17.1,9.6,14.4,1.9,13
13011970200,"Census Tract 9702, Banks County, Georgia",Y2016,4799,89.8,3.9,3.6,0.2,15.1,4.5,15.4,0.7,13
13011970300,"Census Tract 9703, Banks County, Georgia",Y2016,4299,90.9,0.5,3.4,1.2,9.9,4.3,12.4,0.6,13
13011970400,"Census Tract 9704, Banks County, Georgia",Y2016,3967,84.1,0,2.2,2.6,14.1,13.1,17.6,0.7,13
13013180103,"Census Tract 1801.03, Barrow County, Georgia",Y2016,4697,85.3,6,2.1,14.9,5.8,3.6,12.3,0,13
13013180104,"Census Tract 1801.04, Barrow County, Georgia",Y2016,2032,73,0,12.3,1.7,24.5,6.7,17.1,2.2,13
13013180105,"Census Tract 1801.05, Barrow County, Georgia",Y2016,2907,68.2,11.5,8.4,5.9,13,11.9,16.1,1.2,13
13013180106,"Census Tract 1801.06, Barrow County, Georgia",Y2016,2773,77.3,0.6,11.4,2.4,13.3,6.7,15,0.4,13
13013180107,"Census Tract 1801.07, Barrow County, Georgia",Y2016,3904,78.7,7.5,2.2,0.7,13.9,8.9,15.9,3.7,13
13013180108,"Census Tract 1801.08, Barrow County, Georgia",Y2016,2825,85.3,1.9,5.6,3.2,19.7,13.8,10,5.5,13
13013180203,"Census Tract 1802.03, Barrow County, Georgia",Y2016,3743,44.7,4.2,21.7,0,17,10.3,25,0,13
13013180204,"Census Tract 1802.04, Barrow County, Georgia",Y2016,3020,42.9,3.5,32.5,3.2,18.9,12.1,27.8,12.7,13
13013180205,"Census Tract 1802.05, Barrow County, Georgia",Y2016,4397,62.5,2.9,20,1.4,27.4,13.4,30.6,2.9,13
13013180206,"Census Tract 1802.06, Barrow County, Georgia",Y2016,2864,89.8,0,1.4,6.5,15.2,4.4,18.7,2.2,13
13013180301,"Census Tract 1803.01, Barrow County, Georgia",Y2016,2268,86.4,1.9,3.3,5.7,6.7,5.6,13.7,0,13
13013180302,"Census Tract 1803.02, Barrow County, Georgia",Y2016,5434,89.7,0.6,0.5,3.6,11.9,3.7,6.7,3.2,13
13013180303,"Census Tract 1803.03, Barrow County, Georgia",Y2016,4871,75.8,5,6.8,2.4,12.6,9.2,19.1,0,13
13013180401,"Census Tract 1804.01, Barrow County, Georgia",Y2016,5724,84.4,3.8,7.3,6.4,7.3,12.3,6.1,0.5,13
13013180402,"Census Tract 1804.02, Barrow County, Georgia",Y2016,6546,63.9,1.3,25.6,3.3,10.4,8.8,18,1,13
13013180501,"Census Tract 1805.01, Barrow County, Georgia",Y2016,5548,68.9,2.2,15.8,5.4,8.8,9.3,11.2,0,13
13013180502,"Census Tract 1805.02, Barrow County, Georgia",Y2016,4827,76.9,3,6.1,2.7,18.6,8.9,9.4,0,13
13013180503,"Census Tract 1805.03, Barrow County, Georgia",Y2016,4960,71.9,5.8,12.9,3.7,6.2,5.8,11.9,0,13
13015960101,"Census Tract 9601.01, Bartow County, Georgia",Y2016,1573,98,0,0,2.7,8.4,8.6,9.6,0,13
13015960102,"Census Tract 9601.02, Bartow County, Georgia",Y2016,10073,87.5,0.2,4.5,5.4,10.7,5.1,13.5,1.4,13
13015960200,"Census Tract 9602, Bartow County, Georgia",Y2016,11342,86.3,0,10,1.3,14.4,6.6,17.7,2.3,13
13015960300,"Census Tract 9603, Bartow County, Georgia",Y2016,6714,82.7,1.7,4.9,6.1,11.4,5.8,17.3,0.5,13
13015960401,"Census Tract 9604.01, Bartow County, Georgia",Y2016,10043,66.7,1.9,17.9,1.3,10,6.1,16,1,13
13015960402,"Census Tract 9604.02, Bartow County, Georgia",Y2016,8758,78.5,0,14.2,7.4,10.4,8,9,0.9,13
13015960500,"Census Tract 9605, Bartow County, Georgia",Y2016,8056,69.5,0,17,3.2,19.9,12.1,22.1,1.4,13
13015960600,"Census Tract 9606, Bartow County, Georgia",Y2016,9131,70.7,0,19.7,6.7,18.3,8.8,14.2,4.3,13
13015960700,"Census Tract 9607, Bartow County, Georgia",Y2016,7657,55.8,1.9,20,3.2,15,7.3,20.9,2.7,13
13015960801,"Census Tract 9608.01, Bartow County, Georgia",Y2016,3327,85.4,2,5,5.9,19.5,10.3,16.7,0,13
13015960802,"Census Tract 9608.02, Bartow County, Georgia",Y2016,2998,83.8,0,0.7,2.2,24.7,11.5,29.2,0.5,13
13015960803,"Census Tract 9608.03, Bartow County, Georgia",Y2016,5417,85.1,5,1.9,6.2,15.8,13.5,19.7,0,13
13015960901,"Census Tract 9609.01, Bartow County, Georgia",Y2016,3206,94,0,0.6,3.7,14.5,9.2,16.6,2.2,13
13015960902,"Census Tract 9609.02, Bartow County, Georgia",Y2016,6351,82.8,0.6,9.5,2.1,8.3,9,7.8,1.4,13
13015961000,"Census Tract 9610, Bartow County, Georgia",Y2016,7296,89.2,0,5.6,7,9.3,2.3,8.7,2.3,13
13017960100,"Census Tract 9601, Ben Hill County, Georgia",Y2016,2574,84.5,0,13.7,2.3,28.8,7.6,11.6,4.6,13
13017960200,"Census Tract 9602, Ben Hill County, Georgia",Y2016,1555,78.8,0,17.9,0,19.2,4.3,15.2,0,13
13017960300,"Census Tract 9603, Ben Hill County, Georgia",Y2016,3563,59.2,0.5,35.8,1,27.3,4,27.4,6.4,13
13017960400,"Census Tract 9604, Ben Hill County, Georgia",Y2016,3812,29.1,0,50.8,0.6,36.5,15.4,28.9,4.4,13
13017960500,"Census Tract 9605, Ben Hill County, Georgia",Y2016,5901,55.5,0,40.8,2.2,35.1,5.5,30.2,8.9,13
13019970100,"Census Tract 9701, Berrien County, Georgia",Y2016,1871,71.7,0,24.5,5.3,16.2,6.3,16.7,5.1,13
13019970200,"Census Tract 9702, Berrien County, Georgia",Y2016,3905,79.4,0,7.9,1,27.7,11.7,20.3,5.7,13
13019970300,"Census Tract 9703, Berrien County, Georgia",Y2016,3181,88.8,0.6,2.9,0,18.1,10.9,20.7,1.6,13
13019970400,"Census Tract 9704, Berrien County, Georgia",Y2016,2886,79.6,0,18.4,0,36.9,14.7,35.1,4.3,13
13019970500,"Census Tract 9705, Berrien County, Georgia",Y2016,3484,85.6,0.3,8.3,2.6,14.5,9.4,22,6,13
13019970600,"Census Tract 9706, Berrien County, Georgia",Y2016,3659,84.7,3.9,8,1.2,26.4,8.6,18.6,1.1,13
13021010100,"Census Tract 101, Bibb County, Georgia",Y2016,1499,2.5,0,95.3,2.3,53.6,15.8,47.3,21.8,13
13021010200,"Census Tract 102, Bibb County, Georgia",Y2016,2017,61.6,0,35.1,5.1,18.6,8.1,25.2,1.3,13
13021010300,"Census Tract 103, Bibb County, Georgia",Y2016,786,6.6,0,93.4,4.5,35.5,12.7,38,0,13
13021010400,"Census Tract 104, Bibb County, Georgia",Y2016,2180,3.5,0,91.8,0,47.5,23,34.3,18.8,13
13021010500,"Census Tract 105, Bibb County, Georgia",Y2016,3598,36.9,3.5,56.7,0.6,75.5,22.8,74.3,26,13
