store_name,storeid,addr_num,addr_st,addr_all,addr_add,city,state,zip5,country,store_type,stype_num,store_group,stgrp_num,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,X,Y,method,match,dup,state_fp,county_fp,tract_fp,gisjn_tct,msa,msa_id
FLOWERS BAKERY STORE 40000143,st_106898,1455,N Chase St,1455 N Chase St,NA,Athens,GA,30601,NA,Bakery Specialty,1,Specialty,5,1,1,1,1,1,1,1,1,1,1,-83.39361,33.97716,usda,NA,0,13,59,13059130300,G1300590130300,"Athens-Clarke County, GA",12020
Dollar General 15280,st_352079,880,Whitehall Rd,880 Whitehall Rd,NA,Athens,GA,30605,NA,Combination Grocery/Other,2,Small retail,4,0,0,0,0,0,0,1,1,1,1,-83.36377,33.90038,usda,NA,0,13,59,13059150400,G1300590150400,"Athens-Clarke County, GA",12020
Fooks Foods,st_193995,2026,S Milledge Ave,2026 S Milledge Ave,Ste C6,Athens,GA,30605,NA,Combination Grocery/Other,2,Small retail,4,0,1,1,1,1,1,1,1,1,1,-83.37855,33.92387,usda,NA,0,13,59,13059002200,G1300590002200,"Athens-Clarke County, GA",12020
DOLLAR GENERAL 3547,st_152777,1225,Cedar Shoals Dr,1225 Cedar Shoals Dr,NA,Athens,GA,30605,NA,Combination Grocery/Other,2,Small retail,4,1,1,1,1,1,1,1,1,1,1,-83.33389,33.92555,usda,NA,0,13,59,13059150700,G1300590150700,"Athens-Clarke County, GA",12020
Rite Aid 11820,st_108717,1850,Barnett Shoals Rd,1850 Barnett Shoals Rd,NA,Athens,GA,30605,NA,Combination Grocery/Other,2,Small retail,4,1,1,1,1,1,1,1,1,1,1,-83.33985,33.92578,usda,NA,0,13,59,13059150500,G1300590150500,"Athens-Clarke County, GA",12020
Oriental Mini Mart,st_323814,1055,Gaines School Rd,1055 Gaines School Rd,Ste 108,Athens,GA,30605,USA,Combination Grocery/Other,2,Small retail,4,0,0,0,0,0,0,1,0,0,0,-83.33820099,33.92672708,esri,PointAddress,0,13,59,13059150800,G1300590150800,"Athens-Clarke County, GA",12020
DOLLARTREE 1503,st_396680,4410,Lexington Rd,4410 Lexington Rd,NA,Athens,GA,30605,NA,Combination Grocery/Other,2,Small retail,4,0,0,0,0,0,0,0,0,1,1,-83.30994,33.93162,usda,NA,0,13,59,13059150700,G1300590150700,"Athens-Clarke County, GA",12020
Family Dollar Store 3055,st_173861,4060,Lexington Rd,4060 Lexington Rd,NA,Athens,GA,30605,NA,Combination Grocery/Other,2,Small retail,4,0,1,1,1,1,1,1,1,1,1,-83.32115,33.93795,usda,NA,0,13,59,13059150700,G1300590150700,"Athens-Clarke County, GA",12020
CVS Pharmacy 4555,st_114338,4044,Lexington Rd,4044 Lexington Rd,NA,Athens,GA,30605,NA,Combination Grocery/Other,2,Small retail,4,1,1,1,1,1,1,1,1,1,1,-83.32169,33.93821,usda,NA,0,13,59,13059150700,G1300590150700,"Athens-Clarke County, GA",12020
Dollar Tree 20,st_046006,3565,Atlanta Hwy,3565 Atlanta Hwy,NA,Athens,GA,30606,NA,Combination Grocery/Other,2,Small retail,4,1,1,1,1,1,1,1,1,1,1,-83.45657,33.93895,usda,NA,0,13,59,13059130700,G1300590130700,"Athens-Clarke County, GA",12020
Walgreens 12886,st_251962,3355,Lexington Rd,3355 Lexington Rd,NA,Athens,GA,30605,NA,Combination Grocery/Other,2,Small retail,4,0,0,0,1,1,1,1,1,1,1,-83.32292,33.93897,usda,NA,0,13,59,13059150600,G1300590150600,"Athens-Clarke County, GA",12020
CVS PHARMACY 3874,st_276952,3595,Atlanta Hwy,3595 Atlanta Hwy,NA,Athens,GA,30606,NA,Combination Grocery/Other,2,Small retail,4,0,0,0,0,1,1,1,1,1,1,-83.45517,33.93904,usda,NA,0,13,59,13059130700,G1300590130700,"Athens-Clarke County, GA",12020
DOLLAR GENERAL 3023,st_151420,3190,Atlanta Hwy,3190 Atlanta Hwy,NA,Athens,GA,30606,NA,Combination Grocery/Other,2,Small retail,4,1,1,1,1,1,1,1,1,1,1,-83.44611,33.94157,usda,NA,0,13,59,13059130600,G1300590130600,"Athens-Clarke County, GA",12020
KANGAROO EXPRESS 3316,st_062984,1333,S Lumpkin St,1333 S Lumpkin St,NA,Athens,GA,30605,USA,Combination Grocery/Other,2,Small retail,4,1,0,0,0,0,0,0,0,0,0,-83.38351712,33.94275007,esri,PointAddress,0,13,59,13059002100,G1300590002100,"Athens-Clarke County, GA",12020
Opa Robby's Market,st_334513,3129,Atlanta Hwy,3129 Atlanta Hwy,NA,Athens,GA,30606,NA,Combination Grocery/Other,2,Small retail,4,0,0,0,0,0,0,1,1,1,1,-83.44212,33.94281,usda,NA,0,13,59,13059130700,G1300590130700,"Athens-Clarke County, GA",12020
